alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'FATAL_ERROR', 'status': 'error'}, 'code': 503}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:37', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'FATAL_ERROR', 'status': 'error'}, 'code': 503}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
alerta boton de panico - {'solicitud': {'fecha_accionada': '11-09-2022 20:09:38', 'lugar': 'lugar_A54K', 'usuario': 'pepperez29'}, 'response': {'mensaje': 'Recibimos la alarma con exito', 'status': 'success'}, 'code': 201}
